title,tempo,rms,centroid,zcr,mfcc_mean
Save Your Tears,117.45383522727273,0.298064261674881,2231.555555775852,0.04058611134626548,10.567566344691583
Moth To A Flame,120.18531976744185,0.28961098194122314,2599.7629449843207,0.05046435849216331,9.531565347322587
Starboy,123.046875,0.3545587360858917,2205.304026644927,0.02887189646623452,10.582961573644228
LA FAMA,92.28515625,0.31977730989456177,1571.2197627250239,0.029990748355263157,4.655333399052783
One Of The Girls,87.5926906779661,0.25765299797058105,2485.364700680004,0.04632228225377322,5.79671183924037
I Feel It Coming,93.96306818181819,0.29168015718460083,2955.5313995530973,0.05395110989502709,8.174061433152621
Save Your Tears Remix,117.45383522727273,0.31564438343048096,2506.208648591049,0.047566416831946595,10.279085649223004
Timeless,120.18531976744185,0.31606408953666687,2462.2423223711194,0.03861881409636223,8.53303572855283
Ṣo Paulo,126.04801829268293,0.2737481892108917,2064.0681960766706,0.03469026642318111,8.468455343786212
Blinding Lights,86.1328125,0.3007555902004242,2648.899073756774,0.05129182892318111,10.792974345299402
Enter Sandman Remastered 2021,123.046875,0.1652851700782776,4081.644083480025,0.08583961699400154,8.190756362486006
Nothing Else Matters Remastered 2021,143.5546875,0.10705084353685379,2569.336977742525,0.04860061314821981,0.7987642118406898
The Unforgiven Remastered 2021,69.83741554054055,0.1459401398897171,3535.3183387081954,0.08197097069707818,6.31816629219613
One,101.33272058823529,0.06442973017692566,2958.402187702964,0.07233591935952012,-6.5741277631043635
Master Of Puppets Remastered,103.359375,0.15001806616783142,4061.183846761481,0.1002580861189048,5.007422343937925
For Whom The Bell Tolls Remastered,117.45383522727273,0.22143162786960602,3227.6749862492993,0.07414675497049149,9.24035561793719
Fade To Black Remastered,112.34714673913044,0.1061786636710167,3136.849046930295,0.08791972535313468,-1.0076112798016137
Whiskey In The Jar,132.51201923076923,0.2635364830493927,3624.2217344562305,0.08255713495307662,11.008811899928627
Sad But True Remastered 2021,89.10290948275862,0.14984668791294098,4847.748370595662,0.1372620195796246,6.22252427547462
Seek  Destroy Remastered,139.6748310810811,0.19372966885566711,4558.642859173465,0.12410355795278638,8.064609908307522
Clocks,87.5926906779661,0.2516001760959625,1960.7234131542443,0.036455561871130034,6.971366038697713
The Scientist,73.828125,0.13342352211475372,2185.3019730894084,0.05237421088912539,-4.990782567217585
Yellow,87.5926906779661,0.1862819641828537,2585.4225846385502,0.04697288300599845,5.6086821079363975
Fix You,126.04801829268293,0.10876765847206116,1726.6430841623949,0.04574122000773994,-1.6495325255656095
WE PRAY Single Version,135.99917763157896,0.29313504695892334,2013.105617879251,0.028435769095878482,7.47070685453606
Paradise,139.6748310810811,0.1903248429298401,3372.3748005380357,0.07162352759771672,5.458261765870363
Sparks,139.6748310810811,0.20893661677837372,1914.8727727698615,0.027699378990905573,6.569847220767016
Viva La Vida,139.6748310810811,0.18586952984333038,2205.7943813885595,0.05169469874709752,4.5754707393340315
Something Just Like This,103.359375,0.2747690677642822,2994.4035362457703,0.05551893866099071,8.76210022939348
Hymn for the Weekend,90.66611842105263,0.20259518921375275,2601.4504637423915,0.05921619521575077,-5.3269728070723925
Someday Ill Be Back In Hollywood,92.28515625,0.19214081764221191,2183.864224982065,0.03856118028008901,2.52548478415664
The Dream,112.34714673913044,0.2998926639556885,3133.985668095582,0.06379855601780186,10.577927101090134
Lake George,129.19921875,0.12153215706348419,1780.5353960540826,0.0318376759626548,-3.656113019676113
The Little Mess You Made,107.666015625,0.2706296741962433,2247.6937108773595,0.03978396200174149,7.815165633894843
The Hudson,73.828125,0.1520601063966751,1693.6786572400213,0.026987743082430342,-2.1819103829649378
Necessary Evils,129.19921875,0.20332913100719452,1255.3500185033843,0.019717000955398606,6.701802736932055
Times Square Jesus,60.799632352941174,0.25371187925338745,1475.0398354910365,0.02253444423616486,8.23184935516053
Moonshine,147.65625,0.2747741937637329,2322.6462578864694,0.040419634650735295,8.775066424393241
Home Sweet Home,107.666015625,0.2569676339626312,2261.389486934119,0.045169039038312694,6.686170421898384
Davids Brother,123.046875,0.28574809432029724,2475.208662245997,0.04713841488486842,7.283553404200021
ocean eyes,97.50884433962264,0.3463578224182129,1995.756017403488,0.024978873899477554,8.230523249366957
WILDFLOWER,73.828125,0.1349572092294693,1700.0221512519868,0.028544423011803405,0.5211642641583975
bad guy,135.99917763157896,0.24977359175682068,2030.9626335012597,0.03933725268479102,0.08274814526829771
i love you,68.90625,0.08273821324110031,1225.4219527536748,0.0215397412562887,-11.207979957328991
CHIHIRO,109.95678191489361,0.25007808208465576,1405.4966658449166,0.019035410216718267,2.2188353079722543
BLUE,105.46875,0.288057416677475,1540.070123401819,0.02451194550599845,10.01599156792015
LUNCH,126.04801829268293,0.23351486027240753,2139.1822636213496,0.03864375725619195,6.299732053179701
BIRDS OF A FEATHER,105.46875,0.29243525862693787,2309.608386798526,0.03254817809113777,10.14958208671757
when the partys over,135.99917763157896,0.16425879299640656,1449.501292602735,0.02287457823384288,-9.933146393869675
What Was I Made For From The Motion Picture Barbie,95.703125,0.11830441653728485,1884.9054968502655,0.02611227596507353,-0.5840391167308229
i like the way you kiss me,151.99908088235293,0.3224647641181946,3082.1109839420787,0.057904411764705885,10.6070652587732
time alone w u,105.46875,0.289324551820755,3107.4650395192616,0.05229919244630418,6.65618574222032
before we say goodbye,132.51201923076923,0.1957748681306839,2345.7769860850494,0.0541211768938661,-0.0018342862953307144
eat me alive,143.5546875,0.3947518467903137,3216.6094114969883,0.049116105118034055,13.407866091475354
how could u love somebody like me,147.65625,0.3299700915813446,2917.384103255651,0.06086565614115712,3.546510149680497
if u think im pretty,143.5546875,0.309253990650177,2744.898308367759,0.0490836034249226,8.153696906236185
superstar,139.6748310810811,0.3396001160144806,3836.8872705571407,0.07806623240373452,10.91262224752294
caroline,73.828125,0.3018916845321655,3539.104834060038,0.07234945983178655,10.164216010033925
i like the way you kiss me burnt,135.99917763157896,0.40353110432624817,2309.24504674518,0.04428846991099071,11.582662282869556
southbound,97.50884433962264,0.36898672580718994,3463.8905940277737,0.07475653964299536,10.238845502683347
